result #,search engine,query,article title,article url,article description,total nr of results (best guess),date,timestamp
0,google,Boris Johnson,Boris Johnson - Wikipedia,https://en.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (/ˈfɛfəl/; born 19 June 1964) is a British politician,,,
1,google,Boris Johnson,Boris Johnson | Politics | The Guardian,https://www.theguardian.com/politics/boris-johnson,Politics live with Andrew Sparrow Brexit: Tusk accuses Johnson of 'stupid blame game' as No 10 signals talks about to collapse - as it happened.,302000000,n/a,n/a
2,google,Boris Johnson,Boris Johnson tells Tory MPs if Brexit delayed he would not ...,https://www.theguardian.com/politics/live/2019/oct/09/brexit-latest-news-boris-johnson-plans-emergency-saturday-sitting-of-parliament-after-eu-summit-live-news,Boris Johnson has promised centrist Conservative MPs he will not go into an election arguing for a no-deal Brexit and would never make a pact ...,302000000,2 hours ago ,1570640852
3,google,Boris Johnson,Boris Johnson news live: Latest Brexit updates as PM suffers ...,https://www.independent.co.uk/news/uk/politics/boris-johnson-news-live-brexit-no-deal-varadkar-ireland-border-merkel-latest-a9148426.html,The EU's chief negotiator Michel Barnier has delivered a brutal verdict on Boris Johnson's Brexit plans,,,
4,google,Boris Johnson,Boris Johnson - latest news,,,,,
5,google,Boris Johnson,Boris Johnson's Brexit talks teeter on brink of collapse. Here's ...,https://www.cnn.com/2019/10/09/uk/boris-johnson-brexit-good-friday-agreement-intl-gbr/index.html,While Boris Johnson is cheered by supporters for his tough talk on Brexit,,,
6,google,Boris Johnson,Boris Johnson - Home | Facebook,https://www.facebook.com/borisjohnson/,Boris Johnson. 729K likes. Member of Parliament for Uxbridge and South Ruislip.,302000000,n/a,n/a
7,google,Boris Johnson,Boris Johnson's dad says he is 'proud' his son called him ...,https://news.sky.com/story/boris-johnsons-dad-says-he-is-proud-his-dad-called-him-crusty-11831569,"Boris Johnson's father has described his ""pride"" at being called a ""non-cooperative crusty"" by his own son",,,
8,google,Boris Johnson,Boris Johnson - BBC News,https://www.bbc.co.uk/news/topics/c8nq32jw8r1t/boris-johnson,All the latest news about Boris Johnson from the BBC.,302000000,n/a,n/a
9,google,Boris Johnson,Boris Johnson - The Latest News from the UK and Around the ...,https://news.sky.com/topic/boris-johnson-5853,Boris Johnson and Angela Merkel spoke on the phone this morning ... French President Emmanuel Macron (R) welcomes Britain&amp;#39;s Prime Minister Boris ...,302000000,n/a,n/a
10,google,Boris Johnson,Rt Hon Boris Johnson MP - UK Parliament,https://www.parliament.uk/biographies/commons/boris-johnson/1423,Rt Hon Boris Johnson MP. Parliamentary. House of Commons,,,
11,google,Boris Johnson,Boris Johnson - All the latest news and updates- The Sun,https://www.thesun.co.uk/who/boris-johnson/,Latest news,,,
12,google,Boris Johnson,Boris Johnson - The New York Times,https://www.nytimes.com/topic/person/boris-johnson,News about Boris Johnson. Commentary and archival information about Boris Johnson from The New York Times.,302000000,n/a,n/a
13,google,Boris Johnson,Boris Johnson - The Telegraph,https://www.telegraph.co.uk/boris-johnson/,Live Brexit latest news: EU prepared to make major concession on Boris Johnson's deal by letting Northern Ireland assembly leave a new Irish backstop after ...,302000000,n/a,n/a
14,google,Boris Johnson,The Boris Johnson archive - The Telegraph,https://www.telegraph.co.uk/boris-johnson-archive/,Boris Johnson has taken on many topics in his regular Telegraph column which readers have loved over the years. Now he has taken up residence in Number ...,302000000,n/a,n/a
15,google,Boris Johnson,Boris Johnson | Financial Times,https://www.ft.com/topics/people/Boris_Johnson,Boris Johnson hopes to present MPs with new Brexit deal on October 19 ... Lord Carloway's move suggests lack of confidence in Boris Johnson to obey the law.,302000000,n/a,n/a
16,google,Boris Johnson,Boris Johnson MP - Latest news & opinion on the Prime ...,https://www.mirror.co.uk/all-about/boris-johnson,Read the latest news,,,
17,google,Boris Johnson,The Rt Hon Boris Johnson MP - GOV.UK,https://www.gov.uk/government/people/boris-johnson,Boris Johnson became Prime Minister on 24 July 2019. He was previously Foreign Secretary from 13 July 2016 to 9 July 2018. He was elected Conservative MP ...,302000000,n/a,n/a
18,google,Boris Johnson,Boris Johnson News – the latest from Al Jazeera,https://www.aljazeera.com/topics/people/boris-johnson.html,Get today's news on Boris Johnson: current events,,,
19,google,Boris Johnson,Boris Johnson | The Times & The Sunday Times,https://www.thetimes.co.uk/topic/boris-johnson,Discover expert Boris Johnson articles from The Times and The Sunday Times.,302000000,Results 1 - 20 of 4821 ,n/a
20,google,Boris Johnson,Boris Johnson | Fox News,https://www.foxnews.com/category/person/boris-johnson,Boris Johnson is a British politician and journalist who has been a Member of Parliament on two occasions,,,
21,google,Boris Johnson,Boris Johnson | Biography,,,,,
22,google,Boris Johnson,Boris Johnson fails to answer Arcuri questions,,,,,
23,google,Boris Johnson,Boris Johnson - ITV News,https://www.itv.com/news/topic/boris-johnson/,Get all the latest,,,
24,google,Boris Johnson,boris johnson - HuffPost,https://www.huffpost.com/topic/boris-johnson,boris johnson.,302000000,n/a,n/a
25,google,Boris Johnson,Boris Johnson - inews.co.uk,https://inews.co.uk/topic/boris-johnson,Read and watch the latest news,,,
26,google,Boris Johnson,Boris Johnson | News,,,,,
27,google,Boris Johnson,Boris Johnson News: Latest UK Prime Minister Updates | Daily ...,https://www.dailymail.co.uk/news/boris_johnson/index.html,Latest Boris Johnson news on the UK Prime Minister and his no deal Brexit plans plus more on Conservative Party leader's girlfriend Carrie Symonds.,302000000,n/a,n/a
28,google,Boris Johnson,Boris Johnson | The Irish Times,https://www.irishtimes.com/topics/topics-7.1213540?article=true&tag_person=Boris+Johnson,Get up to date with the latest news and stories about the person Boris Johnson at The Irish Times. Breaking News at IrishTimes.com.,302000000,n/a,n/a
29,google,Boris Johnson,Boris Johnson - Wikiquote,https://en.wikiquote.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (born 19 June 1964) is a British politician,,,
30,google,Boris Johnson,Jennifer Arcuri and Boris Johnson: What's the story about ...,https://www.bbc.com/news/uk-politics-49878693,Why is UK Prime Minister Boris Johnson being investigated for an alleged conflict of interest?,302000000,n/a,n/a
31,google,Boris Johnson,Boris Johnson gave inquiry 'insufficient' information on ...,https://www.independent.co.uk/news/uk/politics/boris-johnson-latest-news-jennifer-arcuri-relationship-inquiry-greater-london-assembly-a9149321.html,Information provided by Boris Johnson to an inquiry into his relations with a US businesswoman as London mayor has been deemed ...,302000000,3 hours ago ,1570637256
32,google,Boris Johnson,Boris Johnson popularity & fame | YouGov,https://yougov.co.uk/topics/politics/explore/public_figure/Boris_Johnson,Boris Johnson is the most popular Conservative politician and the most famous. Boris Johnson is described by fans as: Conservative,,,
