result #,search engine,query,article title,article url,article description,total nr of results (best guess),
0,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://nl.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg (Stockholm,,
1,duckduckgo,Greta Thunberg,Greta Thunberg (@gretathunberg) • Instagram photos and videos,https://www.instagram.com/gretathunberg/,7.4m Followers,,
2,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg FRSGS Thunberg in April 2019 Born Greta Tintin Eleonora Ernman Thunberg (2003-01-03) 3 January 2003 (age 16) Stockholm,,
3,duckduckgo,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/,Greta Thunberg. 2,,
4,duckduckgo,Greta Thunberg,Greta Thunberg (@GretaThunberg) | Twitter,https://twitter.com/GretaThunberg,The latest Tweets from Greta Thunberg (@GretaThunberg). 16 year old climate and environmental activist with Asperger&#x27;s Join the global climate strikes on September ...,150,
7,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,,,,
8,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://de.wikipedia.org/wiki/Greta_Thunberg,Im Oktober 2018 wurde Greta Thunberg ohne ihr Wissen zur Ratgeberin des Stiftungsvorstands der Gesellschaft. Am 27. November 2018 kündigte We Don&#x27;t Have Time AB eine Aktienemission an und nutzte den Namen „Greta Thunberg&quot; elfmal im Werbeprospekt für den Börsengang. Im Dezember wurden bei der Aktienemission 10 Millionen SEK erzielt.,150,
9,duckduckgo,Greta Thunberg,Greta Thunberg — Wikipédia,https://fr.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg /² ɡ r e ː t a ² t ʉ ː n b æ r j / [a] Écouter,,
10,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://it.wikipedia.org/wiki/Greta_Thunberg,Greta Tintin Eleonora Ernman Thunberg (IPA: [ˈgreːta ˈtʉːnˌbærj]; Stoccolma,,
12,duckduckgo,Greta Thunberg,YouTube,https://www.youtube.com/watch?v=VFkQSGyeCWg,Enjoy the videos and music you love,,
13,duckduckgo,Greta Thunberg,Greta Thunberg | Speaker | TED,https://www.ted.com/speakers/greta_thunberg,In August 2018,,
